Base Part,Base Part Number,Base Style,Base Style Name,Category,Collection,Color,Date,Delivery Date,Delivery Month,Delivery Month ,Delivery Season,Delivery Season ,Family,Garment Type,Gender,Gender/Stature/Type,Global,Item Code,Macro Area,Master Style,Micro Area,Month,Product Category,Product Family,Product Gender,Product Sub-Family,Region,Region ,Reorder Type,Sales Area,Sales Area ,Style,Style Code,Style Code ,Style Description,Style Description ,Sub-Family,Year,Cost,Dnet,Margin $,Measure for Rank,MSRP,Order $ (U.S. Cost),Order $ (U.S. Dealer Net),Order $ (U.S. MSRP),Order $ (USD),Order Quantity,Style Count,Sum of Extra Quantity (Units),Sum of Quantity (Units)
92841-22VM,92841-22VM,MWS 1176538,MWS Random,Sportswear,Seasonal,Grey,2021-11-30,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,92841-22VM/269,APAC,92841-22,,11,Sportswear,Tops Woven,Women's,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,92841-22VM,92841-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,26.92,79.98,795.9,322,159.96,403.8,1199.7,2399.4,1199.7,15,1,1,15
94864-22VM,94864-22VM,MWS 1403483,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-10-14,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94864-22VM/817,North America,94864-22,,10,Sportswear,Tops Woven,Women's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94864-22VM,94864-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,29.2,62.21,132.04,315,124.42,116.8,248.84,497.68,248.84,4,1,5,4
98971-22VM,98971-22VM,MWS 1013399,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Grey,2021-10-20,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,98971-22VM/703,APAC,98971-22,,10,Sportswear,Tops Woven,Men's,Jacket,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,98971-22VM,98971-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,26.61,67.71,780.9,429,135.42,505.59,1286.49,2572.98,1286.49,19,1,4,19
90652-22VM,90652-22VM,MWS 1317925,MWS Random,Sportswear,Seasonal,Red,2021-07-04,Jul,21 07,21 07,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,90652-22VM/470,North America,90652-22,,7,Sportswear,Tops Woven,Unisex,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,90652-22VM,90652-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,26.04,62.88,331.56,182,125.76,234.36,565.92,1131.84,565.92,9,1,1,9
92033-22VM,92033-22VM,MWS 1753501,MWS Random,Sportswear,Seasonal,Green,2021-03-28,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,92033-22VM/026,EMEA,92033-22,,3,Sportswear,Tops Woven,Men's,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,92033-22VM,92033-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,10.12,30.24,201.2,153,60.48,101.2,302.4,604.8,302.4,10,1,3,10
95965-22VM,95965-22VM,MWS 1133683,MWS Random,Sportswear,Seasonal,Grey,2021-08-14,Aug,21 08,21 08,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,95965-22VM/978,EMEA,95965-22,,8,Sportswear,Tops Woven,Women's,Jacket,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,95965-22VM,95965-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,29.0,69.57,324.56,359,139.14,232.0,556.56,1113.12,556.56,8,1,2,8
90830-22VM,90830-22VM,MWS 1171280,MWS Random,Sportswear,Seasonal,Blue,2021-03-30,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,90830-22VM/031,North America,90830-22,,3,Sportswear,Tops Woven,Women's,Jacket,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,90830-22VM,90830-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,29.6,62.71,529.76,425,125.42,473.6,1003.36,2006.72,1003.36,16,1,1,16
96561-22VM,96561-22VM,MWS 1843373,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Black,2021-08-01,Aug,21 08,21 08,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,96561-22VM/445,APAC,96561-22,,8,Sportswear,Tops Woven,Women's,T-Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,96561-22VM,96561-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,14.79,33.0,72.84,322,66.0,59.16,132.0,264.0,132.0,4,1,0,4
91459-22VM,91459-22VM,MWS 1229192,MWS Random,Sportswear,Seasonal,Green,2021-12-11,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,91459-22VM/942,APAC,91459-22,,12,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,91459-22VM,91459-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,10.1,24.81,29.42,409,49.62,20.2,49.62,99.24,49.62,2,1,5,2
97600-22VM,97600-22VM,MWS 1331911,MWS Random,Sportswear,Core,Grey,2021-05-27,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,97600-22VM/207,EMEA,97600-22,,5,Sportswear,Tops Woven,Unisex,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,97600-22VM,97600-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,17.61,36.71,76.4,265,73.42,70.44,146.84,293.68,146.84,4,1,3,4
96632-22VM,96632-22VM,MWS 1403929,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Grey,2021-05-09,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,96632-22VM/011,EMEA,96632-22,,5,Sportswear,Tops Woven,Men's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,96632-22VM,96632-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,14.36,35.79,107.15,481,71.58,71.8,178.95,357.9,178.95,5,1,3,5
97005-22VM,97005-22VM,MWS 1511558,MWS Random,Sportswear,Core,Black,2021-06-15,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,97005-22VM/731,North America,97005-22,,6,Sportswear,Tops Woven,Unisex,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,97005-22VM,97005-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,14.8,39.73,249.3,486,79.46,148.0,397.3,794.6,397.3,10,1,3,10
93815-22VM,93815-22VM,MWS 1978505,MWS Random,Sportswear,Core,Blue,2021-02-05,Feb,21 02,21 02,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,93815-22VM/265,EMEA,93815-22,,2,Sportswear,Tops Woven,Women's,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,93815-22VM,93815-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,24.0,69.1,721.6,396,138.2,384.0,1105.6,2211.2,1105.6,16,1,0,16
99363-22VM,99363-22VM,MWS 1141071,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-10-13,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99363-22VM/563,North America,99363-22,,10,Sportswear,Tops Woven,Women's,T-Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,99363-22VM,99363-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,22.75,50.48,27.73,215,100.96,22.75,50.48,100.96,50.48,1,1,1,1
91884-22VM,91884-22VM,MWS 1919528,MWS Random,Sportswear,Core,Green,2021-11-27,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,91884-22VM/149,EMEA,91884-22,,11,Sportswear,Tops Woven,Men's,Jacket,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,91884-22VM,91884-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,28.78,80.37,361.13,399,160.74,201.46,562.59,1125.18,562.59,7,1,4,7
96563-22VM,96563-22VM,MWS 1683902,MWS Random,Sportswear,Core,Blue,2021-05-04,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,96563-22VM/805,APAC,96563-22,,5,Sportswear,Tops Woven,Women's,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,96563-22VM,96563-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,13.23,32.66,116.58,263,65.32,79.38,195.96,391.92,195.96,6,1,0,6
99512-22VM,99512-22VM,MWS 1352424,MWS Random,Sportswear,Core,Black,2021-03-05,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99512-22VM/740,EMEA,99512-22,,3,Sportswear,Tops Woven,Women's,T-Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,99512-22VM,99512-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,14.62,34.02,271.6,228,68.04,204.68,476.28,952.56,476.28,14,1,4,14
97015-22VM,97015-22VM,MWS 1058072,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-11-05,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,97015-22VM/415,North America,97015-22,,11,Sportswear,Tops Woven,Men's,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,97015-22VM,97015-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,29.31,82.5,212.76,355,165.0,117.24,330.0,660.0,330.0,4,1,3,4
99219-22VM,99219-22VM,MWS 1057072,MWS Random,Sportswear,Seasonal,Red,2021-12-17,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99219-22VM/319,APAC,99219-22,,12,Sportswear,Tops Woven,Women's,Cap,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,99219-22VM,99219-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,28.28,78.14,498.6,225,156.28,282.8,781.4,1562.8,781.4,10,1,1,10
94753-22VM,94753-22VM,MWS 1946514,MWS Random,Sportswear,Seasonal,Red,2021-10-19,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94753-22VM/989,North America,94753-22,,10,Sportswear,Tops Woven,Women's,Jacket,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,94753-22VM,94753-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,15.63,39.66,192.24,462,79.32,125.04,317.28,634.56,317.28,8,1,5,8
94745-22VM,94745-22VM,MWS 1673308,MWS Random,Sportswear,Seasonal,Black,2021-11-12,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94745-22VM/082,North America,94745-22,,11,Sportswear,Tops Woven,Women's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94745-22VM,94745-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,14.33,37.14,387.77,412,74.28,243.61,631.38,1262.76,631.38,17,1,0,17
93045-22VM,93045-22VM,MWS 1033762,MWS Random,Sportswear,Core,Black,2021-03-14,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,93045-22VM/913,EMEA,93045-22,,3,Sportswear,Tops Woven,Men's,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,93045-22VM,93045-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,20.19,42.77,451.6,254,85.54,403.8,855.4,1710.8,855.4,20,1,3,20
99856-22VM,99856-22VM,MWS 1806565,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Blue,2021-06-07,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99856-22VM/378,North America,99856-22,,6,Sportswear,Tops Woven,Women's,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,99856-22VM,99856-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,16.11,41.65,357.56,168,83.3,225.54,583.1,1166.2,583.1,14,1,4,14
98294-22VM,98294-22VM,MWS 1479564,MWS Random,Sportswear,Seasonal,Black,2021-04-27,Apr,21 04,21 04,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,98294-22VM/805,APAC,98294-22,,4,Sportswear,Tops Woven,Women's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,98294-22VM,98294-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,24.89,50.76,206.96,492,101.52,199.12,406.08,812.16,406.08,8,1,2,8
90102-22VM,90102-22VM,MWS 1515967,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Black,2021-03-02,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,90102-22VM/504,EMEA,90102-22,,3,Sportswear,Tops Woven,Women's,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,90102-22VM,90102-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,20.33,59.37,585.6,258,118.74,304.95,890.55,1781.1,890.55,15,1,0,15
97756-22VM,97756-22VM,MWS 1110417,MWS Random,Sportswear,Core,Black,2021-03-01,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,97756-22VM/918,EMEA,97756-22,,3,Sportswear,Tops Woven,Men's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,97756-22VM,97756-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,14.3,36.43,44.26,182,72.86,28.6,72.86,145.72,72.86,2,1,1,2
95863-22VM,95863-22VM,MWS 1954624,MWS Random,Sportswear,Core,Blue,2021-06-20,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,95863-22VM/352,APAC,95863-22,,6,Sportswear,Tops Woven,Unisex,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,95863-22VM,95863-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,23.81,59.97,144.64,277,119.94,95.24,239.88,479.76,239.88,4,1,0,4
93740-22VM,93740-22VM,MWS 1010590,MWS Random,Sportswear,Seasonal,Grey,2021-12-31,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,93740-22VM/999,APAC,93740-22,,12,Sportswear,Tops Woven,Women's,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,93740-22VM,93740-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,17.81,43.53,308.64,278,87.06,213.72,522.36,1044.72,522.36,12,1,1,12
94462-22VM,94462-22VM,MWS 1166696,MWS Random,Sportswear,Core,Black,2021-03-20,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94462-22VM/789,EMEA,94462-22,,3,Sportswear,Tops Woven,Women's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94462-22VM,94462-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,13.31,30.03,234.08,270,60.06,186.34,420.42,840.84,420.42,14,1,5,14
99156-22VM,99156-22VM,MWS 1465926,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Black,2021-12-16,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,99156-22VM/879,North America,99156-22,,12,Sportswear,Tops Woven,Men's,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,99156-22VM,99156-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,22.82,64.89,715.19,469,129.78,387.94,1103.13,2206.26,1103.13,17,1,5,17
98788-22VM,98788-22VM,MWS 1330780,MWS Random,Sportswear,Core,Black,2021-10-16,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,98788-22VM/300,EMEA,98788-22,,10,Sportswear,Tops Woven,Unisex,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,98788-22VM,98788-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,16.43,40.41,431.64,232,80.82,295.74,727.38,1454.76,727.38,18,1,1,18
94621-22VM,94621-22VM,MWS 1510619,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-04-16,Apr,21 04,21 04,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94621-22VM/761,North America,94621-22,,4,Sportswear,Tops Woven,Women's,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,94621-22VM,94621-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,23.36,46.96,94.4,135,93.92,93.44,187.84,375.68,187.84,4,1,4,4
98247-22VM,98247-22VM,MWS 1460436,MWS Random,Sportswear,Core,Red,2021-08-11,Aug,21 08,21 08,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,98247-22VM/095,APAC,98247-22,,8,Sportswear,Tops Woven,Unisex,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,98247-22VM,98247-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,28.8,73.56,358.08,173,147.12,230.4,588.48,1176.96,588.48,8,1,4,8
94995-22VM,94995-22VM,MWS 1758203,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-12-02,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,94995-22VM/950,North America,94995-22,,12,Sportswear,Tops Woven,Unisex,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94995-22VM,94995-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,18.26,37.06,94.0,222,74.12,91.3,185.3,370.6,185.3,5,1,5,5
90227-22VM,90227-22VM,MWS 1235659,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-06-06,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,90227-22VM/695,North America,90227-22,,6,Sportswear,Tops Woven,Unisex,Jacket,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,90227-22VM,90227-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,25.41,55.92,274.59,368,111.84,228.69,503.28,1006.56,503.28,9,1,0,9
94777-22VM,94777-22VM,MWS 1117191,MWS Random,Sportswear,Core,Grey,2021-08-10,Aug,21 08,21 08,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94777-22VM/095,North America,94777-22,,8,Sportswear,Tops Woven,Women's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94777-22VM,94777-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,12.26,32.32,140.42,154,64.64,85.82,226.24,452.48,226.24,7,1,1,7
94276-22VM,94276-22VM,MWS 1361086,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Green,2021-07-27,Jul,21 07,21 07,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,94276-22VM/499,North America,94276-22,,7,Sportswear,Tops Woven,Unisex,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94276-22VM,94276-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,27.37,59.21,350.24,287,118.42,301.07,651.31,1302.62,651.31,11,1,3,11
94179-22VM,94179-22VM,MWS 1700188,MWS Random,Sportswear,Seasonal,Green,2021-12-03,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94179-22VM/478,EMEA,94179-22,,12,Sportswear,Tops Woven,Women's,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,94179-22VM,94179-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,22.02,65.27,562.25,488,130.54,286.26,848.51,1697.02,848.51,13,1,5,13
92528-22VM,92528-22VM,MWS 1155628,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Green,2021-09-02,Sep,21 09,21 09,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,92528-22VM/988,EMEA,92528-22,,9,Sportswear,Tops Woven,Men's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,92528-22VM,92528-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,29.13,77.21,865.44,416,154.42,524.34,1389.78,2779.56,1389.78,18,1,5,18
94220-22VM,94220-22VM,MWS 1072214,MWS Random,Sportswear,Core,Green,2021-09-07,Sep,21 09,21 09,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,94220-22VM/495,EMEA,94220-22,,9,Sportswear,Tops Woven,Unisex,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,94220-22VM,94220-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,14.04,37.53,93.96,425,75.06,56.16,150.12,300.24,150.12,4,1,4,4
95626-22VM,95626-22VM,MWS 1453941,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Blue,2021-03-13,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,95626-22VM/318,APAC,95626-22,,3,Sportswear,Tops Woven,Women's,T-Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,95626-22VM,95626-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,27.69,74.31,699.3,285,148.62,415.35,1114.65,2229.3,1114.65,15,1,4,15
97043-22VM,97043-22VM,MWS 1920085,MWS Random,Sportswear,Seasonal,Green,2021-02-24,Feb,21 02,21 02,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,97043-22VM/790,EMEA,97043-22,,2,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,97043-22VM,97043-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,10.45,31.21,186.84,363,62.42,94.05,280.89,561.78,280.89,9,1,5,9
97172-22VM,97172-22VM,MWS 1767155,MWS Random,Sportswear,Core,Black,2021-05-03,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,97172-22VM/942,North America,97172-22,,5,Sportswear,Tops Woven,Unisex,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,97172-22VM,97172-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,20.5,55.12,553.92,266,110.24,328.0,881.92,1763.84,881.92,16,1,1,16
92724-22VM,92724-22VM,MWS 1463305,MWS Random,Sportswear,Seasonal,Red,2021-12-16,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,92724-22VM/819,North America,92724-22,,12,Sportswear,Tops Woven,Women's,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,92724-22VM,92724-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,24.41,48.85,293.28,242,97.7,292.92,586.2,1172.4,586.2,12,1,5,12
98620-22VM,98620-22VM,MWS 1011452,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Blue,2021-09-27,Sep,21 09,21 09,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,98620-22VM/446,APAC,98620-22,,9,Sportswear,Tops Woven,Unisex,T-Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,98620-22VM,98620-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,11.5,24.52,78.12,492,49.04,69.0,147.12,294.24,147.12,6,1,1,6
92726-22VM,92726-22VM,MWS 1556222,MWS Random,Sportswear,Seasonal,Black,2021-12-22,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,92726-22VM/574,North America,92726-22,,12,Sportswear,Tops Woven,Women's,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,92726-22VM,92726-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,14.45,29.65,106.4,264,59.3,101.15,207.55,415.1,207.55,7,1,3,7
90734-22VM,90734-22VM,MWS 1964491,MWS Random,Sportswear,Core,Black,2021-12-13,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,90734-22VM/935,North America,90734-22,,12,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,90734-22VM,90734-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,26.28,78.09,569.91,290,156.18,289.08,858.99,1717.98,858.99,11,1,1,11
98344-22VM,98344-22VM,MWS 1395436,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Grey,2021-05-02,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,98344-22VM/321,APAC,98344-22,,5,Sportswear,Tops Woven,Women's,Cap,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,98344-22VM,98344-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,22.32,59.04,330.48,192,118.08,200.88,531.36,1062.72,531.36,9,1,0,9
96636-22VM,96636-22VM,MWS 1484881,MWS Random,Sportswear,Core,Grey,2021-03-02,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,96636-22VM/710,North America,96636-22,,3,Sportswear,Tops Woven,Unisex,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,96636-22VM,96636-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,15.46,45.06,473.6,165,90.12,247.36,720.96,1441.92,720.96,16,1,4,16
90051-22VM,90051-22VM,MWS 1527044,MWS Random,Sportswear,Seasonal,Green,2021-03-23,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,90051-22VM/799,North America,90051-22,,3,Sportswear,Tops Woven,Men's,Cap,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,90051-22VM,90051-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,13.77,39.89,52.24,346,79.78,27.54,79.78,159.56,79.78,2,1,5,2
